"Year","emotions","Count","Total","Percentage"
2017,"anger",2580,11997,21.505376344086
2017,"annoyance",823,11997,6.86004834541969
2017,"confusion",452,11997,3.76760856880887
2017,"disappointment",251,11997,2.09218971409519
2017,"disapproval",954,11997,7.95198799699925
2017,"disgust",3517,11997,29.3156622488956
2017,"embarrassment",59,11997,0.491789614070184
2017,"fear",849,11997,7.07676919229807
2017,"grief",1,11997,0.00833541718763024
2017,"nervousness",8,11997,0.0666833375010419
2017,"remorse",76,11997,0.633491706259898
2017,"sadness",2427,11997,20.2300575143786
2018,"anger",20864,101184,20.6198608475648
2018,"annoyance",6621,101184,6.54352466793169
2018,"confusion",3325,101184,3.2860926628716
2018,"disappointment",2002,101184,1.97857368753953
2018,"disapproval",7923,101184,7.83028937381404
2018,"disgust",31842,101184,31.4694022770398
2018,"embarrassment",479,101184,0.473395003162555
2018,"fear",8603,101184,8.50233238456673
2018,"grief",30,101184,0.0296489563567362
2018,"nervousness",89,101184,0.0879585705249842
2018,"remorse",425,101184,0.42002688172043
2018,"sadness",18981,101184,18.758894686907
2019,"anger",15013,78572,19.1073155831594
2019,"annoyance",5373,78572,6.83831390317161
2019,"confusion",2589,78572,3.29506694496767
2019,"disappointment",1740,78572,2.21452934887746
2019,"disapproval",6207,78572,7.89976072901288
2019,"disgust",25513,78572,32.4708547574199
2019,"embarrassment",370,78572,0.47090566614061
2019,"fear",6708,78572,8.5373924553276
2019,"grief",16,78572,0.0203634882655399
2019,"nervousness",67,78572,0.0852721071119483
2019,"remorse",372,78572,0.473451102173802
2019,"sadness",14604,78572,18.5867739143715
2020,"anger",16166,90707,17.8222187923754
2020,"annoyance",6016,90707,6.6323437000452
2020,"confusion",3257,90707,3.5906820862778
2020,"disappointment",1770,90707,1.95133782398271
2020,"disapproval",7149,90707,7.88142039754374
2020,"disgust",31330,90707,34.539781935242
2020,"embarrassment",403,90707,0.444287651449171
2020,"fear",7902,90707,8.7115658107974
2020,"grief",26,90707,0.0286637194483336
2020,"nervousness",73,90707,0.0804789046049368
2020,"remorse",419,90707,0.461926863417377
2020,"sadness",16196,90707,17.8552923148158
2021,"anger",10916,60547,18.0289692305151
2021,"annoyance",4109,60547,6.78646340859167
2021,"confusion",2014,60547,3.32634151981106
2021,"disappointment",1090,60547,1.80025434786199
2021,"disapproval",4631,60547,7.64860356417329
2021,"disgust",20473,60547,33.8134011594299
2021,"embarrassment",268,60547,0.442631344244967
2021,"fear",5661,60547,9.3497613424282
2021,"grief",12,60547,0.0198193139214164
2021,"nervousness",44,60547,0.0726708177118602
2021,"remorse",333,60547,0.549985961319306
2021,"sadness",10996,60547,18.1610979899912
2022,"anger",14515,78481,18.4949223378907
2022,"annoyance",5147,78481,6.55827525133472
2022,"confusion",2504,78481,3.19058115977115
2022,"disappointment",1504,78481,1.91638740586894
2022,"disapproval",6071,78481,7.73563027994037
2022,"disgust",26902,78481,34.2783603674775
2022,"embarrassment",303,78481,0.386080707432372
2022,"fear",7818,78481,9.96164676800754
2022,"grief",10,78481,0.0127419375390222
2022,"nervousness",84,78481,0.107032275327786
2022,"remorse",347,78481,0.44214523260407
2022,"sadness",13276,78481,16.9161962768058
2023,"anger",21095,121051,17.4265392272678
2023,"annoyance",9647,121051,7.9693682827899
2023,"confusion",4142,121051,3.42169829245525
2023,"disappointment",2815,121051,2.32546612584778
2023,"disapproval",11129,121051,9.19364565348489
2023,"disgust",40814,121051,33.7163674814747
2023,"embarrassment",604,121051,0.498963246895936
2023,"fear",11688,121051,9.6554344862909
2023,"grief",41,121051,0.0338700217263798
2023,"nervousness",152,121051,0.125566909814871
2023,"remorse",712,121051,0.588181840711766
2023,"sadness",18212,121051,15.0448984312397
